0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:49:32 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:49:32 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:49:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:49:51 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [24/Jun/2022:14:49:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:15:08:15 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5987
0:0:0:0:0:0:0:1 - - [24/Jun/2022:15:08:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Jun/2022:15:21:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [24/Jun/2022:15:21:36 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [24/Jun/2022:15:21:42 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2512
