127.0.0.1 - - [17/Jun/2022:12:10:42 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:10:45 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:10:47 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:10:51 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:10:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:11:16 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:11:30 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:11:46 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:14:07 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:14:15 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:14:15 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:14:20 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:20:27 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:32:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:39:29 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:48:01 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:48:02 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:48:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:48:37 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:48:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:51:47 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:53:39 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5963
0:0:0:0:0:0:0:1 - - [17/Jun/2022:12:53:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:01:50 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:01:50 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:01:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:03:23 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:03:23 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:03:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:04:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [17/Jun/2022:13:08:33 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 2628
